id,word,sentence,following_constituent,POS,has_predicate,has_pronoun,has_modal,token_length,prediction
193,akan,mereka seperti tahu apa yang akan dilakukan pak drajat,dilakukan pak drajat,ADV,YES,NO,NO,3,ADV
194,akan,saat itu dia akan kembali ke tempat duduknya setelah menutup kedua pintu,kembali ke tempat duduknya,ADV,NO,NO,NO,4,ADV
195,akan,suasana mistis akan lebih terasa jika melalui jalur purwosari karena di sana banyak situs peninggalan kerajaan yang masih disakralkan,lebih terasa,ADV,YES,NO,NO,2,ADV
196,akan,rencananya mereka berempat akan mendaki gunung arjuno lewat jalur tretes,mendaki gunung arjuno,ADV,YES,NO,NO,3,ADV
197,akan,ini akan menjadi sebuah pendakian panjang,menjadi sebuah pendakian panjang,ADV,YES,NO,NO,4,ADV
198,akan,rama menolak karena akan berfoto bareng dua pendaki lain,berfoto bareng dua pendaki lain,ADV,YES,NO,NO,5,ADV
199,akan,setelah itu mereka akan berkumpul sejenak di ruang pertemuan untuk mendengarkan pidato penutupan acara,berkumpul sejenak di ruang pertemuan,ADV,YES,NO,NO,5,ADV
200,akan,rama juga akan berpamitan sebelum mendaki gunung semeru bersama janu,berpamitan sebelum mendaki,ADV,YES,NO,NO,3,ADV
201,akan,pada malam jumat proses penarikan benda pusaka dari tanah kuburan akan dilakukan,dilakukan,ADV,YES,NO,NO,1,ADV
202,akan,besok pencarian akan dilanjutkan ke area puncak,dilanjutkan ke area puncak,ADV,YES,NO,NO,4,ADV
203,akan,mereka pasti akan menampakkan diri lagi,menampakkan diri lagi,ADV,YES,NO,NO,3,ADV
204,akan,pendaki gunung semeru akan menemui sebuah fenomena,menemui sebuah fenomena,ADV,YES,NO,NO,3,ADV
205,akan,dia nggak akan ngapangapain,ngapangapain,ADV,NO,NO,NO,1,PREP
206,akan,kami semua akan selalu mendoakanmu,selalu mendoakanmu,ADV,YES,NO,NO,2,ADV
207,buat,itu masih jadi tekateki buat saya sampai hari ini,saya,PREP,NO,YES,NO,1,PREP
208,buat,wan ambilin air putih buat mas,mas,PREP,NO,NO,NO,1,PREP
209,buat,aku sorongkan segelas air putih buat mas deni setelah sebelumnya dibacakan doa oleh ibu,mas deni,PREP,NO,NO,NO,2,PREP
210,buat,apa yang bisa kami lakukan buat kamu kinanti,kamu kinanti,PREP,NO,YES,NO,2,PREP
211,buat,dia adalah koki yang di setiap kegiatan pendakian selalu diandalkan untuk memasak buat kami,kami,PREP,NO,YES,NO,1,PREP
212,buat,buat dia ini hanya pertanyaan basabasi saja,dia,PREP,NO,YES,NO,1,PREP
213,buat,jika sedang banyak pelatihan pekerjaan di dapur praktis tidak pernah berhenti karena harus menyediakan makan buat para peserta,para peserta,PREP,NO,NO,NO,2,PREP
214,buat,makan ubi dulu mil buat mengganjal perut dan nambah energi,mengganjal perut dan nambah energi,CONJ,YES,NO,NO,5,CONJ
215,buat,tapi menurut kepercayaan jawa sabtu pahing memang hari pantangan buat pergi,pergi,CONJ,NO,NO,NO,1,PREP
